,day_of_week,hour_of_day,num_of_commits,owner,repo
152,6,8,0,IanLunn,Hover
153,6,9,0,IanLunn,Hover
154,6,10,2,IanLunn,Hover
155,6,11,0,IanLunn,Hover
156,6,12,0,IanLunn,Hover
157,6,13,0,IanLunn,Hover
158,6,14,0,IanLunn,Hover
159,6,15,0,IanLunn,Hover
160,6,16,0,IanLunn,Hover
161,6,17,0,IanLunn,Hover
162,6,18,0,IanLunn,Hover
163,6,19,0,IanLunn,Hover
164,6,20,0,IanLunn,Hover
165,6,21,0,IanLunn,Hover
166,6,22,0,IanLunn,Hover
167,6,23,3,IanLunn,Hover
0,0,0,7,eczarny,spectacle
1,0,1,2,eczarny,spectacle
2,0,2,1,eczarny,spectacle
3,0,3,0,eczarny,spectacle
4,0,4,0,eczarny,spectacle
5,0,5,0,eczarny,spectacle
6,0,6,0,eczarny,spectacle
7,0,7,0,eczarny,spectacle
8,0,8,0,eczarny,spectacle
9,0,9,0,eczarny,spectacle
10,0,10,0,eczarny,spectacle
11,0,11,0,eczarny,spectacle
12,0,12,5,eczarny,spectacle
13,0,13,5,eczarny,spectacle
14,0,14,7,eczarny,spectacle
15,0,15,5,eczarny,spectacle
16,0,16,6,eczarny,spectacle
17,0,17,5,eczarny,spectacle
18,0,18,4,eczarny,spectacle
19,0,19,3,eczarny,spectacle
20,0,20,8,eczarny,spectacle
21,0,21,4,eczarny,spectacle
22,0,22,15,eczarny,spectacle
23,0,23,5,eczarny,spectacle
24,1,0,3,eczarny,spectacle
25,1,1,1,eczarny,spectacle
26,1,2,0,eczarny,spectacle
27,1,3,0,eczarny,spectacle
28,1,4,0,eczarny,spectacle
29,1,5,0,eczarny,spectacle
30,1,6,0,eczarny,spectacle
31,1,7,0,eczarny,spectacle
32,1,8,0,eczarny,spectacle
33,1,9,1,eczarny,spectacle
34,1,10,5,eczarny,spectacle
35,1,11,6,eczarny,spectacle
36,1,12,1,eczarny,spectacle
37,1,13,6,eczarny,spectacle
38,1,14,5,eczarny,spectacle
39,1,15,10,eczarny,spectacle
40,1,16,5,eczarny,spectacle
41,1,17,7,eczarny,spectacle
42,1,18,2,eczarny,spectacle
43,1,19,4,eczarny,spectacle
44,1,20,4,eczarny,spectacle
45,1,21,5,eczarny,spectacle
46,1,22,5,eczarny,spectacle
47,1,23,10,eczarny,spectacle
48,2,0,1,eczarny,spectacle
49,2,1,0,eczarny,spectacle
50,2,2,0,eczarny,spectacle
51,2,3,0,eczarny,spectacle
52,2,4,0,eczarny,spectacle
53,2,5,0,eczarny,spectacle
54,2,6,0,eczarny,spectacle
55,2,7,1,eczarny,spectacle
56,2,8,0,eczarny,spectacle
57,2,9,2,eczarny,spectacle
58,2,10,4,eczarny,spectacle
59,2,11,3,eczarny,spectacle
60,2,12,5,eczarny,spectacle
61,2,13,4,eczarny,spectacle
62,2,14,4,eczarny,spectacle
63,2,15,1,eczarny,spectacle
64,2,16,2,eczarny,spectacle
65,2,17,7,eczarny,spectacle
66,2,18,5,eczarny,spectacle
67,2,19,7,eczarny,spectacle
68,2,20,4,eczarny,spectacle
69,2,21,9,eczarny,spectacle
70,2,22,11,eczarny,spectacle
71,2,23,12,eczarny,spectacle
72,3,0,5,eczarny,spectacle
73,3,1,1,eczarny,spectacle
