,owner,repo,a,c,d,date
807,jschr,bootstrap-modal,0,0,0,2013-03-24 00:00:00
808,madebymany,sir-trevor-js,0,0,0,2013-03-24 00:00:00
809,rendrjs,rendr,339,21,213,2013-03-24 00:00:00
810,JakeWharton,ViewPagerIndicator,0,0,0,2013-03-31 00:00:00
811,carrierwaveuploader,carrierwave,11,1,0,2013-03-31 00:00:00
812,eczarny,spectacle,0,0,0,2013-03-31 00:00:00
813,inconshreveable,ngrok,1983,13,785,2013-03-31 00:00:00
814,jquery,jquery-ui,173,16,86,2013-03-31 00:00:00
815,jschr,bootstrap-modal,5,1,5,2013-03-31 00:00:00
816,madebymany,sir-trevor-js,266,2,178,2013-03-31 00:00:00
817,rendrjs,rendr,263,28,66,2013-03-31 00:00:00
818,JakeWharton,ViewPagerIndicator,0,0,0,2013-04-07 00:00:00
819,carrierwaveuploader,carrierwave,0,0,0,2013-04-07 00:00:00
820,eczarny,spectacle,0,0,0,2013-04-07 00:00:00
821,inconshreveable,ngrok,225,3,68,2013-04-07 00:00:00
822,jquery,jquery-ui,359,16,251,2013-04-07 00:00:00
823,jschr,bootstrap-modal,1,1,1,2013-04-07 00:00:00
824,madebymany,sir-trevor-js,0,0,0,2013-04-07 00:00:00
825,rendrjs,rendr,290,15,292,2013-04-07 00:00:00
826,JakeWharton,ViewPagerIndicator,0,0,0,2013-04-14 00:00:00
827,carrierwaveuploader,carrierwave,0,0,0,2013-04-14 00:00:00
828,eczarny,spectacle,0,0,0,2013-04-14 00:00:00
829,inconshreveable,ngrok,495,10,68,2013-04-14 00:00:00
830,jquery,jquery-ui,255,4,180,2013-04-14 00:00:00
831,jschr,bootstrap-modal,0,0,0,2013-04-14 00:00:00
832,madebymany,sir-trevor-js,963,9,949,2013-04-14 00:00:00
833,rendrjs,rendr,87,11,130,2013-04-14 00:00:00
834,JakeWharton,ViewPagerIndicator,0,0,0,2013-04-21 00:00:00
835,carrierwaveuploader,carrierwave,0,0,0,2013-04-21 00:00:00
836,eczarny,spectacle,0,0,0,2013-04-21 00:00:00
837,inconshreveable,ngrok,12,2,9,2013-04-21 00:00:00
838,jquery,jquery-ui,32,6,34,2013-04-21 00:00:00
839,jschr,bootstrap-modal,0,0,0,2013-04-21 00:00:00
840,madebymany,sir-trevor-js,366,5,305,2013-04-21 00:00:00
841,rendrjs,rendr,4715,13,3636,2013-04-21 00:00:00
842,JakeWharton,ViewPagerIndicator,0,0,0,2013-04-28 00:00:00
843,carrierwaveuploader,carrierwave,0,0,0,2013-04-28 00:00:00
844,eczarny,spectacle,0,0,0,2013-04-28 00:00:00
845,inconshreveable,ngrok,278,2,83,2013-04-28 00:00:00
846,jquery,jquery-ui,576,44,516,2013-04-28 00:00:00
847,jschr,bootstrap-modal,0,0,0,2013-04-28 00:00:00
848,madebymany,sir-trevor-js,2380,9,335,2013-04-28 00:00:00
849,rendrjs,rendr,416,27,178,2013-04-28 00:00:00
850,JakeWharton,ViewPagerIndicator,0,0,0,2013-05-05 00:00:00
851,carrierwaveuploader,carrierwave,0,0,0,2013-05-05 00:00:00
852,eczarny,spectacle,0,0,0,2013-05-05 00:00:00
853,inconshreveable,ngrok,0,0,0,2013-05-05 00:00:00
854,jquery,jquery-ui,846,7,897,2013-05-05 00:00:00
855,jschr,bootstrap-modal,26,2,27,2013-05-05 00:00:00
856,madebymany,sir-trevor-js,128,5,185,2013-05-05 00:00:00
857,rendrjs,rendr,15,3,2,2013-05-05 00:00:00
858,JakeWharton,ViewPagerIndicator,0,0,0,2013-05-12 00:00:00
859,carrierwaveuploader,carrierwave,29,3,11,2013-05-12 00:00:00
860,eczarny,spectacle,0,0,0,2013-05-12 00:00:00
861,inconshreveable,ngrok,85,5,24,2013-05-12 00:00:00
862,jquery,jquery-ui,235,10,205,2013-05-12 00:00:00
863,jschr,bootstrap-modal,0,0,0,2013-05-12 00:00:00
864,madebymany,sir-trevor-js,0,0,0,2013-05-12 00:00:00
865,rendrjs,rendr,270,16,123,2013-05-12 00:00:00
866,JakeWharton,ViewPagerIndicator,0,0,0,2013-05-19 00:00:00
867,carrierwaveuploader,carrierwave,24,2,8,2013-05-19 00:00:00
868,eczarny,spectacle,0,0,0,2013-05-19 00:00:00
869,inconshreveable,ngrok,10,2,6,2013-05-19 00:00:00
870,jquery,jquery-ui,135,4,118,2013-05-19 00:00:00
871,jschr,bootstrap-modal,17,1,16,2013-05-19 00:00:00
872,madebymany,sir-trevor-js,20,1,8,2013-05-19 00:00:00
873,rendrjs,rendr,66,8,20,2013-05-19 00:00:00
874,JakeWharton,ViewPagerIndicator,0,0,0,2013-05-26 00:00:00
875,carrierwaveuploader,carrierwave,202,7,140,2013-05-26 00:00:00
876,eczarny,spectacle,0,0,0,2013-05-26 00:00:00
877,inconshreveable,ngrok,677,2,325,2013-05-26 00:00:00
878,jquery,jquery-ui,419,17,407,2013-05-26 00:00:00
879,jschr,bootstrap-modal,1,1,1,2013-05-26 00:00:00
880,madebymany,sir-trevor-js,0,0,0,2013-05-26 00:00:00
881,rendrjs,rendr,248,14,195,2013-05-26 00:00:00
882,JakeWharton,ViewPagerIndicator,0,0,0,2013-06-02 00:00:00
883,carrierwaveuploader,carrierwave,0,0,0,2013-06-02 00:00:00
884,eczarny,spectacle,0,0,0,2013-06-02 00:00:00
885,inconshreveable,ngrok,897,7,26,2013-06-02 00:00:00
886,jquery,jquery-ui,246,10,278,2013-06-02 00:00:00
887,jschr,bootstrap-modal,0,0,0,2013-06-02 00:00:00
888,madebymany,sir-trevor-js,585,21,967,2013-06-02 00:00:00
889,rendrjs,rendr,47,7,22,2013-06-02 00:00:00
890,JakeWharton,ViewPagerIndicator,0,0,0,2013-06-09 00:00:00
891,carrierwaveuploader,carrierwave,1,1,1,2013-06-09 00:00:00
892,eczarny,spectacle,0,0,0,2013-06-09 00:00:00
893,inconshreveable,ngrok,442,7,35,2013-06-09 00:00:00
894,jquery,jquery-ui,57,3,1,2013-06-09 00:00:00
895,jschr,bootstrap-modal,0,0,0,2013-06-09 00:00:00
896,madebymany,sir-trevor-js,27,4,10,2013-06-09 00:00:00
897,rendrjs,rendr,346,4,326,2013-06-09 00:00:00
898,JakeWharton,ViewPagerIndicator,0,0,0,2013-06-16 00:00:00
899,carrierwaveuploader,carrierwave,0,0,0,2013-06-16 00:00:00
900,eczarny,spectacle,0,0,0,2013-06-16 00:00:00
901,inconshreveable,ngrok,291,4,152,2013-06-16 00:00:00
902,jquery,jquery-ui,6,4,9,2013-06-16 00:00:00
903,jschr,bootstrap-modal,0,0,0,2013-06-16 00:00:00
904,madebymany,sir-trevor-js,4035,7,255,2013-06-16 00:00:00
905,rendrjs,rendr,21,3,32,2013-06-16 00:00:00
906,JakeWharton,ViewPagerIndicator,0,0,0,2013-06-23 00:00:00
907,carrierwaveuploader,carrierwave,49,4,21,2013-06-23 00:00:00
908,eczarny,spectacle,0,0,0,2013-06-23 00:00:00
909,inconshreveable,ngrok,2556,8,3159,2013-06-23 00:00:00
910,jquery,jquery-ui,9,4,2,2013-06-23 00:00:00
911,jschr,bootstrap-modal,0,0,0,2013-06-23 00:00:00
912,madebymany,sir-trevor-js,10,5,9,2013-06-23 00:00:00
913,rendrjs,rendr,305,16,125,2013-06-23 00:00:00
914,JakeWharton,ViewPagerIndicator,0,0,0,2013-06-30 00:00:00
915,carrierwaveuploader,carrierwave,20,3,6,2013-06-30 00:00:00
916,eczarny,spectacle,0,0,0,2013-06-30 00:00:00
917,inconshreveable,ngrok,870,14,283,2013-06-30 00:00:00
918,jquery,jquery-ui,56,5,18,2013-06-30 00:00:00
919,jschr,bootstrap-modal,0,0,0,2013-06-30 00:00:00
920,madebymany,sir-trevor-js,3517,25,3114,2013-06-30 00:00:00
921,rendrjs,rendr,149,2,22,2013-06-30 00:00:00
922,JakeWharton,ViewPagerIndicator,0,0,0,2013-07-07 00:00:00
923,carrierwaveuploader,carrierwave,5,2,20,2013-07-07 00:00:00
924,eczarny,spectacle,0,0,0,2013-07-07 00:00:00
925,inconshreveable,ngrok,11,1,8,2013-07-07 00:00:00
926,jquery,jquery-ui,691,8,162,2013-07-07 00:00:00
927,jschr,bootstrap-modal,0,0,0,2013-07-07 00:00:00
928,madebymany,sir-trevor-js,1360,20,13748,2013-07-07 00:00:00
929,rendrjs,rendr,26,6,34,2013-07-07 00:00:00
930,JakeWharton,ViewPagerIndicator,0,0,0,2013-07-14 00:00:00
931,carrierwaveuploader,carrierwave,2,2,3,2013-07-14 00:00:00
932,eczarny,spectacle,0,0,0,2013-07-14 00:00:00
933,inconshreveable,ngrok,153,2,62,2013-07-14 00:00:00
934,jquery,jquery-ui,1381,6,341,2013-07-14 00:00:00
935,jschr,bootstrap-modal,0,0,0,2013-07-14 00:00:00
936,madebymany,sir-trevor-js,2183,17,411,2013-07-14 00:00:00
937,rendrjs,rendr,51,5,13,2013-07-14 00:00:00
938,JakeWharton,ViewPagerIndicator,0,0,0,2013-07-21 00:00:00
939,carrierwaveuploader,carrierwave,1,1,1,2013-07-21 00:00:00
940,eczarny,spectacle,1,1,1,2013-07-21 00:00:00
941,inconshreveable,ngrok,92,11,53,2013-07-21 00:00:00
942,jquery,jquery-ui,0,0,0,2013-07-21 00:00:00
943,jschr,bootstrap-modal,0,0,0,2013-07-21 00:00:00
944,madebymany,sir-trevor-js,1061,28,532,2013-07-21 00:00:00
945,rendrjs,rendr,2,2,2,2013-07-21 00:00:00
946,JakeWharton,ViewPagerIndicator,0,0,0,2013-07-28 00:00:00
947,carrierwaveuploader,carrierwave,14,2,3,2013-07-28 00:00:00
948,eczarny,spectacle,0,0,0,2013-07-28 00:00:00
949,inconshreveable,ngrok,492,9,274,2013-07-28 00:00:00
950,jquery,jquery-ui,87,10,147,2013-07-28 00:00:00
951,jschr,bootstrap-modal,10,2,10,2013-07-28 00:00:00
952,madebymany,sir-trevor-js,1367,42,800,2013-07-28 00:00:00
953,rendrjs,rendr,0,0,0,2013-07-28 00:00:00
954,JakeWharton,ViewPagerIndicator,0,0,0,2013-08-04 00:00:00
955,carrierwaveuploader,carrierwave,5,3,12,2013-08-04 00:00:00
956,eczarny,spectacle,0,0,0,2013-08-04 00:00:00
957,inconshreveable,ngrok,0,0,0,2013-08-04 00:00:00
958,jquery,jquery-ui,39,3,28,2013-08-04 00:00:00
959,jschr,bootstrap-modal,0,0,0,2013-08-04 00:00:00
960,madebymany,sir-trevor-js,3587,11,3593,2013-08-04 00:00:00
961,rendrjs,rendr,0,0,0,2013-08-04 00:00:00
962,JakeWharton,ViewPagerIndicator,0,0,0,2013-08-11 00:00:00
963,carrierwaveuploader,carrierwave,0,0,0,2013-08-11 00:00:00
964,eczarny,spectacle,0,0,0,2013-08-11 00:00:00
965,inconshreveable,ngrok,943,16,610,2013-08-11 00:00:00
966,jquery,jquery-ui,45,3,10,2013-08-11 00:00:00
967,jschr,bootstrap-modal,0,0,0,2013-08-11 00:00:00
968,madebymany,sir-trevor-js,0,0,0,2013-08-11 00:00:00
969,rendrjs,rendr,79,3,28,2013-08-11 00:00:00
970,JakeWharton,ViewPagerIndicator,0,0,0,2013-08-18 00:00:00
971,carrierwaveuploader,carrierwave,8,1,0,2013-08-18 00:00:00
972,eczarny,spectacle,0,0,0,2013-08-18 00:00:00
973,inconshreveable,ngrok,0,0,0,2013-08-18 00:00:00
974,jquery,jquery-ui,1,1,1,2013-08-18 00:00:00
975,jschr,bootstrap-modal,0,0,0,2013-08-18 00:00:00
976,madebymany,sir-trevor-js,293,13,179,2013-08-18 00:00:00
977,rendrjs,rendr,32,2,28,2013-08-18 00:00:00
978,JakeWharton,ViewPagerIndicator,0,0,0,2013-08-25 00:00:00
979,carrierwaveuploader,carrierwave,18,2,14,2013-08-25 00:00:00
980,eczarny,spectacle,0,0,0,2013-08-25 00:00:00
981,inconshreveable,ngrok,537,3,374,2013-08-25 00:00:00
982,jquery,jquery-ui,60,7,25,2013-08-25 00:00:00
983,jschr,bootstrap-modal,0,0,0,2013-08-25 00:00:00
984,madebymany,sir-trevor-js,0,0,0,2013-08-25 00:00:00
985,rendrjs,rendr,0,0,0,2013-08-25 00:00:00
986,JakeWharton,ViewPagerIndicator,0,0,0,2013-09-01 00:00:00
987,carrierwaveuploader,carrierwave,44,7,41,2013-09-01 00:00:00
988,eczarny,spectacle,0,0,0,2013-09-01 00:00:00
989,inconshreveable,ngrok,40,5,5,2013-09-01 00:00:00
990,jquery,jquery-ui,86,5,25,2013-09-01 00:00:00
991,jschr,bootstrap-modal,471,6,23,2013-09-01 00:00:00
992,madebymany,sir-trevor-js,71,4,76,2013-09-01 00:00:00
993,rendrjs,rendr,0,0,0,2013-09-01 00:00:00
994,JakeWharton,ViewPagerIndicator,0,0,0,2013-09-08 00:00:00
995,carrierwaveuploader,carrierwave,112,9,123,2013-09-08 00:00:00
996,eczarny,spectacle,0,0,0,2013-09-08 00:00:00
997,inconshreveable,ngrok,565,14,434,2013-09-08 00:00:00
998,jquery,jquery-ui,60,2,2,2013-09-08 00:00:00
999,jschr,bootstrap-modal,7,2,5,2013-09-08 00:00:00
1000,madebymany,sir-trevor-js,0,0,0,2013-09-08 00:00:00
1001,rendrjs,rendr,21,5,18,2013-09-08 00:00:00
1002,JakeWharton,ViewPagerIndicator,0,0,0,2013-09-15 00:00:00
1003,carrierwaveuploader,carrierwave,0,0,0,2013-09-15 00:00:00
1004,eczarny,spectacle,0,0,0,2013-09-15 00:00:00
1005,inconshreveable,ngrok,713,9,419,2013-09-15 00:00:00
1006,jquery,jquery-ui,520,14,626,2013-09-15 00:00:00
1007,jschr,bootstrap-modal,0,0,0,2013-09-15 00:00:00
1008,madebymany,sir-trevor-js,639,15,452,2013-09-15 00:00:00
1009,rendrjs,rendr,102,2,98,2013-09-15 00:00:00
1010,JakeWharton,ViewPagerIndicator,0,0,0,2013-09-22 00:00:00
1011,carrierwaveuploader,carrierwave,1,1,1,2013-09-22 00:00:00
1012,eczarny,spectacle,0,0,0,2013-09-22 00:00:00
1013,inconshreveable,ngrok,425,16,190,2013-09-22 00:00:00
1014,jquery,jquery-ui,351,8,199,2013-09-22 00:00:00
1015,jschr,bootstrap-modal,0,0,0,2013-09-22 00:00:00
1016,madebymany,sir-trevor-js,55,4,39,2013-09-22 00:00:00
1017,rendrjs,rendr,141,11,104,2013-09-22 00:00:00
1018,JakeWharton,ViewPagerIndicator,0,0,0,2013-09-29 00:00:00
1019,carrierwaveuploader,carrierwave,0,0,0,2013-09-29 00:00:00
1020,eczarny,spectacle,0,0,0,2013-09-29 00:00:00
1021,inconshreveable,ngrok,87,6,52,2013-09-29 00:00:00
1022,jquery,jquery-ui,148,13,62,2013-09-29 00:00:00
1023,jschr,bootstrap-modal,0,0,0,2013-09-29 00:00:00
1024,madebymany,sir-trevor-js,16214,7,465,2013-09-29 00:00:00
1025,rendrjs,rendr,3360,10,66,2013-09-29 00:00:00
1026,JakeWharton,ViewPagerIndicator,0,0,0,2013-10-06 00:00:00
1027,carrierwaveuploader,carrierwave,0,0,0,2013-10-06 00:00:00
1028,eczarny,spectacle,0,0,0,2013-10-06 00:00:00
1029,inconshreveable,ngrok,21,3,29,2013-10-06 00:00:00
1030,jquery,jquery-ui,54,3,24,2013-10-06 00:00:00
1031,jschr,bootstrap-modal,0,0,0,2013-10-06 00:00:00
1032,madebymany,sir-trevor-js,93,2,55,2013-10-06 00:00:00
1033,rendrjs,rendr,6962,12,3473,2013-10-06 00:00:00
1034,JakeWharton,ViewPagerIndicator,0,0,0,2013-10-13 00:00:00
1035,carrierwaveuploader,carrierwave,63,3,4,2013-10-13 00:00:00
1036,eczarny,spectacle,0,0,0,2013-10-13 00:00:00
1037,inconshreveable,ngrok,114,4,77,2013-10-13 00:00:00
1038,jquery,jquery-ui,157,11,97,2013-10-13 00:00:00
1039,jschr,bootstrap-modal,0,0,0,2013-10-13 00:00:00
1040,madebymany,sir-trevor-js,942,30,327,2013-10-13 00:00:00
1041,rendrjs,rendr,1967,13,233,2013-10-13 00:00:00
1042,JakeWharton,ViewPagerIndicator,0,0,0,2013-10-20 00:00:00
1043,carrierwaveuploader,carrierwave,4,2,3,2013-10-20 00:00:00
1044,eczarny,spectacle,0,0,0,2013-10-20 00:00:00
1045,inconshreveable,ngrok,29,5,7,2013-10-20 00:00:00
1046,jquery,jquery-ui,559,22,495,2013-10-20 00:00:00
1047,jschr,bootstrap-modal,0,0,0,2013-10-20 00:00:00
1048,madebymany,sir-trevor-js,529,17,376,2013-10-20 00:00:00
1049,rendrjs,rendr,86,8,74,2013-10-20 00:00:00
1050,JakeWharton,ViewPagerIndicator,0,0,0,2013-10-27 00:00:00
1051,carrierwaveuploader,carrierwave,0,0,0,2013-10-27 00:00:00
1052,eczarny,spectacle,2,1,2,2013-10-27 00:00:00
1053,inconshreveable,ngrok,1,1,1,2013-10-27 00:00:00
1054,jquery,jquery-ui,363,13,464,2013-10-27 00:00:00
1055,jschr,bootstrap-modal,0,0,0,2013-10-27 00:00:00
1056,madebymany,sir-trevor-js,225,7,109,2013-10-27 00:00:00
1057,rendrjs,rendr,15,3,31,2013-10-27 00:00:00
1058,JakeWharton,ViewPagerIndicator,0,0,0,2013-11-03 00:00:00
1059,carrierwaveuploader,carrierwave,0,0,0,2013-11-03 00:00:00
1060,eczarny,spectacle,0,0,0,2013-11-03 00:00:00
1061,inconshreveable,ngrok,35,1,59,2013-11-03 00:00:00
1062,jquery,jquery-ui,79,5,9,2013-11-03 00:00:00
1063,jschr,bootstrap-modal,0,0,0,2013-11-03 00:00:00
1064,madebymany,sir-trevor-js,20,5,11,2013-11-03 00:00:00
1065,rendrjs,rendr,216,18,96,2013-11-03 00:00:00
1066,JakeWharton,ViewPagerIndicator,0,0,0,2013-11-10 00:00:00
1067,carrierwaveuploader,carrierwave,18,2,2,2013-11-10 00:00:00
1068,eczarny,spectacle,0,0,0,2013-11-10 00:00:00
1069,inconshreveable,ngrok,0,0,0,2013-11-10 00:00:00
1070,jquery,jquery-ui,184,15,87,2013-11-10 00:00:00
1071,jschr,bootstrap-modal,0,0,0,2013-11-10 00:00:00
1072,madebymany,sir-trevor-js,383,18,150,2013-11-10 00:00:00
1073,rendrjs,rendr,5233,11,383,2013-11-10 00:00:00
1074,JakeWharton,ViewPagerIndicator,0,0,0,2013-11-17 00:00:00
1075,carrierwaveuploader,carrierwave,2,2,1,2013-11-17 00:00:00
1076,eczarny,spectacle,0,0,0,2013-11-17 00:00:00
1077,inconshreveable,ngrok,0,0,0,2013-11-17 00:00:00
1078,jquery,jquery-ui,59757,8,3150,2013-11-17 00:00:00
1079,jschr,bootstrap-modal,0,0,0,2013-11-17 00:00:00
1080,madebymany,sir-trevor-js,242,6,46,2013-11-17 00:00:00
1081,rendrjs,rendr,354,19,616,2013-11-17 00:00:00
1082,JakeWharton,ViewPagerIndicator,0,0,0,2013-11-24 00:00:00
1083,carrierwaveuploader,carrierwave,25,2,10,2013-11-24 00:00:00
1084,eczarny,spectacle,0,0,0,2013-11-24 00:00:00
1085,inconshreveable,ngrok,0,0,0,2013-11-24 00:00:00
1086,jquery,jquery-ui,17,6,20,2013-11-24 00:00:00
1087,jschr,bootstrap-modal,4,1,0,2013-11-24 00:00:00
1088,madebymany,sir-trevor-js,2350,3,2181,2013-11-24 00:00:00
1089,rendrjs,rendr,495,13,511,2013-11-24 00:00:00
1090,JakeWharton,ViewPagerIndicator,0,0,0,2013-12-01 00:00:00
1091,carrierwaveuploader,carrierwave,0,0,0,2013-12-01 00:00:00
1092,eczarny,spectacle,0,0,0,2013-12-01 00:00:00
1093,inconshreveable,ngrok,7,1,7,2013-12-01 00:00:00
1094,jquery,jquery-ui,22361,17,22195,2013-12-01 00:00:00
1095,jschr,bootstrap-modal,0,0,0,2013-12-01 00:00:00
1096,madebymany,sir-trevor-js,276,6,186,2013-12-01 00:00:00
1097,rendrjs,rendr,352,18,88,2013-12-01 00:00:00
1098,JakeWharton,ViewPagerIndicator,0,0,0,2013-12-08 00:00:00
1099,carrierwaveuploader,carrierwave,0,0,0,2013-12-08 00:00:00
1100,eczarny,spectacle,0,0,0,2013-12-08 00:00:00
1101,inconshreveable,ngrok,0,0,0,2013-12-08 00:00:00
1102,jquery,jquery-ui,204,10,26,2013-12-08 00:00:00
1103,jschr,bootstrap-modal,0,0,0,2013-12-08 00:00:00
1104,madebymany,sir-trevor-js,754,12,284,2013-12-08 00:00:00
1105,rendrjs,rendr,2384,40,5070,2013-12-08 00:00:00
1106,JakeWharton,ViewPagerIndicator,0,0,0,2013-12-15 00:00:00
1107,carrierwaveuploader,carrierwave,0,0,0,2013-12-15 00:00:00
1108,eczarny,spectacle,0,0,0,2013-12-15 00:00:00
1109,inconshreveable,ngrok,42,1,23,2013-12-15 00:00:00
1110,jquery,jquery-ui,131,6,88,2013-12-15 00:00:00
1111,jschr,bootstrap-modal,0,0,0,2013-12-15 00:00:00
1112,madebymany,sir-trevor-js,195,9,127,2013-12-15 00:00:00
1113,rendrjs,rendr,710,25,628,2013-12-15 00:00:00
1114,JakeWharton,ViewPagerIndicator,0,0,0,2013-12-22 00:00:00
1115,carrierwaveuploader,carrierwave,0,0,0,2013-12-22 00:00:00
1116,eczarny,spectacle,0,0,0,2013-12-22 00:00:00
1117,inconshreveable,ngrok,1,1,1,2013-12-22 00:00:00
1118,jquery,jquery-ui,65,1,22,2013-12-22 00:00:00
1119,jschr,bootstrap-modal,0,0,0,2013-12-22 00:00:00
1120,madebymany,sir-trevor-js,205,9,166,2013-12-22 00:00:00
1121,rendrjs,rendr,329,2,173,2013-12-22 00:00:00
1122,IanLunn,Hover,5426,8,1869,2013-12-29 00:00:00
1123,JakeWharton,ViewPagerIndicator,0,0,0,2013-12-29 00:00:00
1124,carrierwaveuploader,carrierwave,0,0,0,2013-12-29 00:00:00
1125,eczarny,spectacle,0,0,0,2013-12-29 00:00:00
1126,inconshreveable,ngrok,25,2,9,2013-12-29 00:00:00
1127,jquery,jquery-ui,11,1,4,2013-12-29 00:00:00
1128,jschr,bootstrap-modal,15,1,19,2013-12-29 00:00:00
1129,madebymany,sir-trevor-js,0,0,0,2013-12-29 00:00:00
1130,rendrjs,rendr,49,4,21,2013-12-29 00:00:00
1131,IanLunn,Hover,2420,13,2061,2014-01-05 00:00:00
1132,JakeWharton,ViewPagerIndicator,0,0,0,2014-01-05 00:00:00
1133,carrierwaveuploader,carrierwave,0,0,0,2014-01-05 00:00:00
1134,eczarny,spectacle,0,0,0,2014-01-05 00:00:00
1135,inconshreveable,ngrok,0,0,0,2014-01-05 00:00:00
1136,jquery,jquery-ui,44,8,183,2014-01-05 00:00:00
1137,jschr,bootstrap-modal,20,1,20,2014-01-05 00:00:00
1138,madebymany,sir-trevor-js,5,3,6,2014-01-05 00:00:00
1139,rendrjs,rendr,238,5,227,2014-01-05 00:00:00
1140,IanLunn,Hover,37,6,67,2014-01-12 00:00:00
1141,JakeWharton,ViewPagerIndicator,0,0,0,2014-01-12 00:00:00
1142,carrierwaveuploader,carrierwave,0,0,0,2014-01-12 00:00:00
1143,eczarny,spectacle,0,0,0,2014-01-12 00:00:00
1144,inconshreveable,ngrok,0,0,0,2014-01-12 00:00:00
1145,jquery,jquery-ui,132,9,22,2014-01-12 00:00:00
1146,jschr,bootstrap-modal,9,1,3,2014-01-12 00:00:00
1147,madebymany,sir-trevor-js,68,5,15,2014-01-12 00:00:00
1148,rendrjs,rendr,92,4,34,2014-01-12 00:00:00
1149,IanLunn,Hover,273,1,1,2014-01-19 00:00:00
1150,JakeWharton,ViewPagerIndicator,0,0,0,2014-01-19 00:00:00
1151,carrierwaveuploader,carrierwave,0,0,0,2014-01-19 00:00:00
1152,eczarny,spectacle,0,0,0,2014-01-19 00:00:00
1153,inconshreveable,ngrok,11,3,10,2014-01-19 00:00:00
1154,jquery,jquery-ui,992,8,1049,2014-01-19 00:00:00
1155,jschr,bootstrap-modal,0,0,0,2014-01-19 00:00:00
1156,madebymany,sir-trevor-js,0,0,0,2014-01-19 00:00:00
1157,rendrjs,rendr,89,4,7,2014-01-19 00:00:00
1158,IanLunn,Hover,133,2,105,2014-01-26 00:00:00
1159,JakeWharton,ViewPagerIndicator,0,0,0,2014-01-26 00:00:00
1160,carrierwaveuploader,carrierwave,0,0,0,2014-01-26 00:00:00
1161,eczarny,spectacle,0,1,0,2014-01-26 00:00:00
1162,inconshreveable,ngrok,50,2,43,2014-01-26 00:00:00
1163,jquery,jquery-ui,79,4,73,2014-01-26 00:00:00
1164,jschr,bootstrap-modal,0,0,0,2014-01-26 00:00:00
1165,madebymany,sir-trevor-js,0,0,0,2014-01-26 00:00:00
1166,rendrjs,rendr,3,1,2,2014-01-26 00:00:00
1167,IanLunn,Hover,0,0,0,2014-02-02 00:00:00
1168,JakeWharton,ViewPagerIndicator,0,0,0,2014-02-02 00:00:00
1169,carrierwaveuploader,carrierwave,0,0,0,2014-02-02 00:00:00
1170,eczarny,spectacle,0,0,0,2014-02-02 00:00:00
1171,inconshreveable,ngrok,12,2,3,2014-02-02 00:00:00
1172,jquery,jquery-ui,49,5,7,2014-02-02 00:00:00
1173,jschr,bootstrap-modal,6,2,6,2014-02-02 00:00:00
1174,madebymany,sir-trevor-js,0,0,0,2014-02-02 00:00:00
1175,rendrjs,rendr,179,15,148,2014-02-02 00:00:00
1176,IanLunn,Hover,6,1,3,2014-02-09 00:00:00
1177,JakeWharton,ViewPagerIndicator,0,0,0,2014-02-09 00:00:00
1178,carrierwaveuploader,carrierwave,0,0,0,2014-02-09 00:00:00
1179,eczarny,spectacle,0,0,0,2014-02-09 00:00:00
1180,inconshreveable,ngrok,0,0,0,2014-02-09 00:00:00
1181,jquery,jquery-ui,134,5,761,2014-02-09 00:00:00
1182,jschr,bootstrap-modal,0,0,0,2014-02-09 00:00:00
1183,madebymany,sir-trevor-js,0,0,0,2014-02-09 00:00:00
1184,rendrjs,rendr,534,15,53,2014-02-09 00:00:00
1185,IanLunn,Hover,0,0,0,2014-02-16 00:00:00
1186,JakeWharton,ViewPagerIndicator,0,0,0,2014-02-16 00:00:00
1187,carrierwaveuploader,carrierwave,567,9,222,2014-02-16 00:00:00
1188,eczarny,spectacle,0,0,0,2014-02-16 00:00:00
1189,inconshreveable,ngrok,0,0,0,2014-02-16 00:00:00
1190,jquery,jquery-ui,3360,21,3296,2014-02-16 00:00:00
1191,jschr,bootstrap-modal,0,0,0,2014-02-16 00:00:00
1192,madebymany,sir-trevor-js,464,5,70,2014-02-16 00:00:00
1193,rendrjs,rendr,437,10,250,2014-02-16 00:00:00
1194,IanLunn,Hover,22,2,24,2014-02-23 00:00:00
1195,JakeWharton,ViewPagerIndicator,0,0,0,2014-02-23 00:00:00
1196,carrierwaveuploader,carrierwave,13,6,17,2014-02-23 00:00:00
1197,eczarny,spectacle,0,0,0,2014-02-23 00:00:00
1198,inconshreveable,ngrok,1,1,1,2014-02-23 00:00:00
1199,jquery,jquery-ui,0,0,0,2014-02-23 00:00:00
1200,jschr,bootstrap-modal,0,0,0,2014-02-23 00:00:00
1201,madebymany,sir-trevor-js,0,0,0,2014-02-23 00:00:00
1202,rendrjs,rendr,98,12,77,2014-02-23 00:00:00
1203,IanLunn,Hover,0,0,0,2014-03-02 00:00:00
1204,JakeWharton,ViewPagerIndicator,0,0,0,2014-03-02 00:00:00
1205,carrierwaveuploader,carrierwave,364,1,344,2014-03-02 00:00:00
1206,eczarny,spectacle,0,0,0,2014-03-02 00:00:00
1207,inconshreveable,ngrok,5,2,5,2014-03-02 00:00:00
1208,jquery,jquery-ui,69206,4,70070,2014-03-02 00:00:00
1209,jschr,bootstrap-modal,17,2,16,2014-03-02 00:00:00
1210,madebymany,sir-trevor-js,0,0,0,2014-03-02 00:00:00
