,a,c,d,contributorName,owner,repo,userType
0,51,1,0,alexdw,madebymany,sir-trevor-js,User
0,6,1,8,WouterSioen,madebymany,sir-trevor-js,User
0,2,1,2,wesww,madebymany,sir-trevor-js,User
0,2,1,2,zertosh,madebymany,sir-trevor-js,User
0,1,1,1,romaricdrigon,madebymany,sir-trevor-js,User
0,1,1,1,MaximDubrovin,madebymany,sir-trevor-js,User
0,1,1,0,martinbean,madebymany,sir-trevor-js,User
0,9,2,7,jackbot,madebymany,sir-trevor-js,User
0,6,2,4,morpheus-87,madebymany,sir-trevor-js,User
0,21,2,3,bborn,madebymany,sir-trevor-js,User
0,8,2,1,Borales,madebymany,sir-trevor-js,User
0,3,2,3,esn303,madebymany,sir-trevor-js,User
0,10,2,4,shinnyx,madebymany,sir-trevor-js,User
0,153,2,102,simoniong,madebymany,sir-trevor-js,User
0,5,2,5,jonduarte,madebymany,sir-trevor-js,User
0,31,3,8,jackjennings,madebymany,sir-trevor-js,User
0,17,3,9,callumlocke,madebymany,sir-trevor-js,User
0,36,3,27,motin,madebymany,sir-trevor-js,User
0,27,3,3,higgis,madebymany,sir-trevor-js,User
0,78,4,2,caouecs,madebymany,sir-trevor-js,User
0,5,4,5,SgtOddball,madebymany,sir-trevor-js,User
0,121,5,70,rafaelbeckel,madebymany,sir-trevor-js,User
0,482,6,71,azhang,madebymany,sir-trevor-js,User
0,549,7,189,jbaiter,madebymany,sir-trevor-js,User
0,74,7,61,jeffling,madebymany,sir-trevor-js,User
0,2433,9,3079,arbarlow,madebymany,sir-trevor-js,User
0,261,10,36,ilyaporopudas,madebymany,sir-trevor-js,User
0,570,10,31,stueccles,madebymany,sir-trevor-js,User
0,172,12,135,andrewsprinz,madebymany,sir-trevor-js,User
0,266,19,204,cobbweb,madebymany,sir-trevor-js,User
0,32639,25,35731,dwb,madebymany,sir-trevor-js,User
0,61940,29,32580,lukaszsagol,madebymany,sir-trevor-js,User
0,59628,69,61311,ninjabiscuit,madebymany,sir-trevor-js,User
0,93578,161,157343,raffij,madebymany,sir-trevor-js,User
0,357228,419,328540,cjbell,madebymany,sir-trevor-js,User
0,18,1,0,george-silva,jschr,bootstrap-modal,User
0,15,1,0,stephanebachelier,jschr,bootstrap-modal,User
0,5,1,5,cmckni3,jschr,bootstrap-modal,User
0,2,1,2,dominicmartineau,jschr,bootstrap-modal,User
0,4,1,0,bitdeli-chef,jschr,bootstrap-modal,User
0,5,1,5,brian-dennett,jschr,bootstrap-modal,User
0,1,1,1,dandorman,jschr,bootstrap-modal,User
