,all_commits,owner_commits,owner,repo
21,4,0,jquery,jquery-ui
22,2,0,jquery,jquery-ui
23,1,0,jquery,jquery-ui
24,0,0,jquery,jquery-ui
25,2,0,jquery,jquery-ui
26,3,0,jquery,jquery-ui
27,32,0,jquery,jquery-ui
28,28,0,jquery,jquery-ui
29,4,0,jquery,jquery-ui
30,2,0,jquery,jquery-ui
31,0,0,jquery,jquery-ui
32,1,0,jquery,jquery-ui
33,3,0,jquery,jquery-ui
34,1,0,jquery,jquery-ui
35,8,0,jquery,jquery-ui
36,3,0,jquery,jquery-ui
37,1,0,jquery,jquery-ui
38,1,0,jquery,jquery-ui
39,0,0,jquery,jquery-ui
40,1,0,jquery,jquery-ui
41,6,0,jquery,jquery-ui
42,5,0,jquery,jquery-ui
43,0,0,jquery,jquery-ui
44,3,0,jquery,jquery-ui
45,1,0,jquery,jquery-ui
46,0,0,jquery,jquery-ui
47,3,0,jquery,jquery-ui
48,1,0,jquery,jquery-ui
49,8,0,jquery,jquery-ui
50,3,0,jquery,jquery-ui
51,5,0,jquery,jquery-ui
