owner,repo,weekofyear,stars
inconshreveable,ngrok,43,42
inconshreveable,ngrok,44,65
inconshreveable,ngrok,45,44
inconshreveable,ngrok,46,42
inconshreveable,ngrok,47,47
inconshreveable,ngrok,48,74
inconshreveable,ngrok,49,54
inconshreveable,ngrok,50,59
inconshreveable,ngrok,51,181
inconshreveable,ngrok,52,46
jquery,jquery-ui,1,2
jquery,jquery-ui,2,17
jquery,jquery-ui,3,14
jquery,jquery-ui,4,14
jquery,jquery-ui,5,16
jquery,jquery-ui,6,25
jquery,jquery-ui,7,18
jquery,jquery-ui,8,16
jquery,jquery-ui,9,21
jquery,jquery-ui,10,22
jquery,jquery-ui,11,13
jquery,jquery-ui,12,15
jquery,jquery-ui,13,12
jquery,jquery-ui,14,17
jquery,jquery-ui,15,10
jquery,jquery-ui,16,10
jquery,jquery-ui,17,24
jquery,jquery-ui,18,17
jquery,jquery-ui,19,9
jquery,jquery-ui,20,23
jquery,jquery-ui,21,13
jquery,jquery-ui,22,16
jquery,jquery-ui,23,14
jquery,jquery-ui,24,17
jquery,jquery-ui,25,15
jquery,jquery-ui,26,20
jquery,jquery-ui,27,19
jquery,jquery-ui,28,24
jquery,jquery-ui,29,13
jquery,jquery-ui,30,12
jquery,jquery-ui,31,16
jquery,jquery-ui,32,21
jquery,jquery-ui,33,26
jquery,jquery-ui,34,23
jquery,jquery-ui,35,18
jquery,jquery-ui,36,15
jquery,jquery-ui,37,17
jquery,jquery-ui,38,16
jquery,jquery-ui,39,20
jquery,jquery-ui,40,14
jquery,jquery-ui,41,19
jquery,jquery-ui,42,14
jquery,jquery-ui,43,24
jquery,jquery-ui,44,21
jquery,jquery-ui,45,15
jquery,jquery-ui,46,16
jquery,jquery-ui,47,20
jquery,jquery-ui,48,12
jquery,jquery-ui,49,12
jquery,jquery-ui,50,14
jquery,jquery-ui,51,10
jquery,jquery-ui,52,12
jschr,bootstrap-modal,1,2
jschr,bootstrap-modal,2,8
jschr,bootstrap-modal,3,10
jschr,bootstrap-modal,4,11
jschr,bootstrap-modal,5,6
jschr,bootstrap-modal,6,8
jschr,bootstrap-modal,7,9
jschr,bootstrap-modal,8,12
jschr,bootstrap-modal,9,8
jschr,bootstrap-modal,10,5
jschr,bootstrap-modal,11,12
jschr,bootstrap-modal,12,6
jschr,bootstrap-modal,13,11
jschr,bootstrap-modal,14,6
jschr,bootstrap-modal,15,7
jschr,bootstrap-modal,16,8
jschr,bootstrap-modal,17,11
jschr,bootstrap-modal,18,8
jschr,bootstrap-modal,19,10
jschr,bootstrap-modal,20,11
jschr,bootstrap-modal,21,9
jschr,bootstrap-modal,22,7
jschr,bootstrap-modal,23,10
jschr,bootstrap-modal,24,7
jschr,bootstrap-modal,25,10
jschr,bootstrap-modal,26,12
jschr,bootstrap-modal,27,7
jschr,bootstrap-modal,28,4
jschr,bootstrap-modal,29,13
jschr,bootstrap-modal,30,11
jschr,bootstrap-modal,31,10
jschr,bootstrap-modal,32,9
jschr,bootstrap-modal,33,9
jschr,bootstrap-modal,34,10
jschr,bootstrap-modal,35,11
jschr,bootstrap-modal,36,9
jschr,bootstrap-modal,37,21
jschr,bootstrap-modal,38,6
jschr,bootstrap-modal,39,11
jschr,bootstrap-modal,40,6
jschr,bootstrap-modal,41,5
jschr,bootstrap-modal,42,8
jschr,bootstrap-modal,43,8
jschr,bootstrap-modal,44,8
jschr,bootstrap-modal,45,14
jschr,bootstrap-modal,46,6
jschr,bootstrap-modal,47,1
