owner,repo,additions,commits,deletions,weekofyear
JakeWharton,ViewPagerIndicator,0,0,0,24
carrierwaveuploader,carrierwave,0,0,0,24
eczarny,spectacle,0,0,0,24
inconshreveable,ngrok,0,0,0,24
jquery,jquery-ui,4,1,4,24
jschr,bootstrap-modal,0,0,0,24
lebinh,ngxtop,0,0,0,24
madebymany,sir-trevor-js,33,5,15,24
rendrjs,rendr,0,0,0,24
IanLunn,Hover,0,0,0,25
JakeWharton,ViewPagerIndicator,0,0,0,25
carrierwaveuploader,carrierwave,0,0,0,25
eczarny,spectacle,0,0,0,25
inconshreveable,ngrok,20,1,9,25
jquery,jquery-ui,38,1,8,25
jschr,bootstrap-modal,0,0,0,25
lebinh,ngxtop,0,0,0,25
madebymany,sir-trevor-js,14,7,12,25
rendrjs,rendr,25,2,5,25
IanLunn,Hover,0,0,0,26
JakeWharton,ViewPagerIndicator,0,0,0,26
carrierwaveuploader,carrierwave,0,0,0,26
eczarny,spectacle,0,0,0,26
inconshreveable,ngrok,0,0,0,26
jquery,jquery-ui,2,1,0,26
jschr,bootstrap-modal,0,0,0,26
lebinh,ngxtop,0,0,0,26
madebymany,sir-trevor-js,0,0,0,26
rendrjs,rendr,0,0,0,26
IanLunn,Hover,0,0,0,27
JakeWharton,ViewPagerIndicator,0,0,0,27
carrierwaveuploader,carrierwave,641,2,518,27
eczarny,spectacle,0,0,0,27
inconshreveable,ngrok,5,1,1,27
jquery,jquery-ui,3,1,1,27
jschr,bootstrap-modal,0,0,0,27
lebinh,ngxtop,0,0,0,27
madebymany,sir-trevor-js,0,0,0,27
rendrjs,rendr,0,0,0,27
IanLunn,Hover,0,0,0,28
JakeWharton,ViewPagerIndicator,0,0,0,28
carrierwaveuploader,carrierwave,129,1,116,28
eczarny,spectacle,0,0,0,28
inconshreveable,ngrok,0,0,0,28
jquery,jquery-ui,989,33,328,28
jschr,bootstrap-modal,0,0,0,28
lebinh,ngxtop,0,0,0,28
madebymany,sir-trevor-js,0,0,0,28
rendrjs,rendr,0,0,0,28
IanLunn,Hover,0,0,0,29
JakeWharton,ViewPagerIndicator,0,0,0,29
carrierwaveuploader,carrierwave,460,6,462,29
eczarny,spectacle,0,0,0,29
inconshreveable,ngrok,0,1,2,29
jquery,jquery-ui,5945,27,5715,29
jschr,bootstrap-modal,0,0,0,29
lebinh,ngxtop,0,0,0,29
madebymany,sir-trevor-js,9,1,2,29
rendrjs,rendr,0,0,0,29
IanLunn,Hover,0,0,0,30
JakeWharton,ViewPagerIndicator,0,0,0,30
carrierwaveuploader,carrierwave,173,8,195,30
eczarny,spectacle,1,1,1,30
inconshreveable,ngrok,0,0,0,30
jquery,jquery-ui,12,3,23,30
jschr,bootstrap-modal,0,0,0,30
lebinh,ngxtop,0,0,0,30
madebymany,sir-trevor-js,539,1,15563,30
rendrjs,rendr,0,0,0,30
IanLunn,Hover,0,0,0,31
JakeWharton,ViewPagerIndicator,0,0,0,31
carrierwaveuploader,carrierwave,441,6,383,31
