owner,repo,weekofyear,total_stars
GoogleCloudPlatform,cloud-vision,24,10
GoogleCloudPlatform,cloud-vision,25,14
GoogleCloudPlatform,cloud-vision,26,30
GoogleCloudPlatform,cloud-vision,27,19
GoogleCloudPlatform,cloud-vision,28,4
GoogleCloudPlatform,cloud-vision,29,11
GoogleCloudPlatform,cloud-vision,30,19
GoogleCloudPlatform,cloud-vision,31,15
GoogleCloudPlatform,cloud-vision,32,11
GoogleCloudPlatform,cloud-vision,33,9
GoogleCloudPlatform,cloud-vision,34,8
GoogleCloudPlatform,cloud-vision,35,6
GoogleCloudPlatform,cloud-vision,36,7
GoogleCloudPlatform,cloud-vision,37,5
GoogleCloudPlatform,cloud-vision,38,6
GoogleCloudPlatform,cloud-vision,39,6
GoogleCloudPlatform,cloud-vision,40,3
GoogleCloudPlatform,cloud-vision,41,6
GoogleCloudPlatform,cloud-vision,43,9
GoogleCloudPlatform,cloud-vision,44,3
GoogleCloudPlatform,cloud-vision,45,5
GoogleCloudPlatform,cloud-vision,46,8
GoogleCloudPlatform,cloud-vision,47,2
GoogleCloudPlatform,cloud-vision,48,5
GoogleCloudPlatform,cloud-vision,49,4
GoogleCloudPlatform,cloud-vision,50,12
GoogleCloudPlatform,cloud-vision,51,5
GoogleCloudPlatform,cloud-vision,52,5
GoogleCloudPlatform,gcsfuse,1,2
GoogleCloudPlatform,gcsfuse,2,3
GoogleCloudPlatform,gcsfuse,4,7
GoogleCloudPlatform,gcsfuse,5,2
GoogleCloudPlatform,gcsfuse,6,5
GoogleCloudPlatform,gcsfuse,7,6
GoogleCloudPlatform,gcsfuse,8,2
GoogleCloudPlatform,gcsfuse,9,1
GoogleCloudPlatform,gcsfuse,10,4
GoogleCloudPlatform,gcsfuse,11,1
GoogleCloudPlatform,gcsfuse,12,2
GoogleCloudPlatform,gcsfuse,13,1
GoogleCloudPlatform,gcsfuse,14,3
GoogleCloudPlatform,gcsfuse,15,2
GoogleCloudPlatform,gcsfuse,17,1
GoogleCloudPlatform,gcsfuse,18,1
GoogleCloudPlatform,gcsfuse,19,1
GoogleCloudPlatform,gcsfuse,20,3
GoogleCloudPlatform,gcsfuse,21,4
GoogleCloudPlatform,gcsfuse,22,3
GoogleCloudPlatform,gcsfuse,23,3
GoogleCloudPlatform,gcsfuse,25,2
GoogleCloudPlatform,gcsfuse,26,4
GoogleCloudPlatform,gcsfuse,27,1
GoogleCloudPlatform,gcsfuse,28,2
GoogleCloudPlatform,gcsfuse,29,6
GoogleCloudPlatform,gcsfuse,30,6
GoogleCloudPlatform,gcsfuse,31,2
GoogleCloudPlatform,gcsfuse,32,1
GoogleCloudPlatform,gcsfuse,33,5
GoogleCloudPlatform,gcsfuse,34,3
GoogleCloudPlatform,gcsfuse,35,5
GoogleCloudPlatform,gcsfuse,36,3
GoogleCloudPlatform,gcsfuse,38,3
GoogleCloudPlatform,gcsfuse,39,2
GoogleCloudPlatform,gcsfuse,40,2
GoogleCloudPlatform,gcsfuse,41,2
GoogleCloudPlatform,gcsfuse,42,5
GoogleCloudPlatform,gcsfuse,43,3
GoogleCloudPlatform,gcsfuse,44,4
GoogleCloudPlatform,gcsfuse,45,2
GoogleCloudPlatform,gcsfuse,46,4
GoogleCloudPlatform,gcsfuse,47,3
GoogleCloudPlatform,gcsfuse,48,4
GoogleCloudPlatform,gcsfuse,49,3
GoogleCloudPlatform,gcsfuse,50,3
GoogleCloudPlatform,gcsfuse,51,1
GoogleCloudPlatform,gcsfuse,52,3
GoogleCloudPlatform,go-endpoints,4,1
GoogleCloudPlatform,go-endpoints,5,1
GoogleCloudPlatform,go-endpoints,6,4
GoogleCloudPlatform,go-endpoints,8,1
GoogleCloudPlatform,go-endpoints,9,4
GoogleCloudPlatform,go-endpoints,14,2
GoogleCloudPlatform,go-endpoints,15,1
GoogleCloudPlatform,go-endpoints,19,1
GoogleCloudPlatform,go-endpoints,20,2
GoogleCloudPlatform,go-endpoints,21,3
GoogleCloudPlatform,go-endpoints,22,1
GoogleCloudPlatform,go-endpoints,25,1
GoogleCloudPlatform,go-endpoints,26,1
GoogleCloudPlatform,go-endpoints,28,3
GoogleCloudPlatform,go-endpoints,32,1
GoogleCloudPlatform,go-endpoints,34,1
GoogleCloudPlatform,go-endpoints,35,1
GoogleCloudPlatform,go-endpoints,36,3
GoogleCloudPlatform,go-endpoints,42,2
GoogleCloudPlatform,go-endpoints,45,1
GoogleCloudPlatform,go-endpoints,46,1
GoogleCloudPlatform,go-endpoints,48,3
GoogleCloudPlatform,go-endpoints,50,1
GoogleCloudPlatform,go-endpoints,51,1
GoogleCloudPlatform,google-cloud-datastore,1,1
GoogleCloudPlatform,google-cloud-datastore,4,1
GoogleCloudPlatform,google-cloud-datastore,6,2
GoogleCloudPlatform,google-cloud-datastore,7,2
GoogleCloudPlatform,google-cloud-datastore,8,1
GoogleCloudPlatform,google-cloud-datastore,9,1
GoogleCloudPlatform,google-cloud-datastore,10,1
GoogleCloudPlatform,google-cloud-datastore,11,1
GoogleCloudPlatform,google-cloud-datastore,15,1
GoogleCloudPlatform,google-cloud-datastore,17,3
GoogleCloudPlatform,google-cloud-datastore,19,1
GoogleCloudPlatform,google-cloud-datastore,24,2
GoogleCloudPlatform,google-cloud-datastore,25,1
GoogleCloudPlatform,google-cloud-datastore,26,1
GoogleCloudPlatform,google-cloud-datastore,28,1
GoogleCloudPlatform,google-cloud-datastore,29,1
GoogleCloudPlatform,google-cloud-datastore,34,1
GoogleCloudPlatform,google-cloud-datastore,39,2
GoogleCloudPlatform,google-cloud-datastore,41,1
GoogleCloudPlatform,google-cloud-datastore,48,1
GoogleCloudPlatform,google-cloud-datastore,49,1
GoogleCloudPlatform,google-cloud-datastore,52,3
GoogleCloudPlatform,google-cloud-go,1,1
GoogleCloudPlatform,google-cloud-go,2,3
GoogleCloudPlatform,google-cloud-go,3,4
GoogleCloudPlatform,google-cloud-go,4,1
GoogleCloudPlatform,google-cloud-go,5,3
GoogleCloudPlatform,google-cloud-go,6,3
GoogleCloudPlatform,google-cloud-go,8,4
GoogleCloudPlatform,google-cloud-go,9,3
GoogleCloudPlatform,google-cloud-go,10,2
GoogleCloudPlatform,google-cloud-go,11,1
GoogleCloudPlatform,google-cloud-go,13,1
GoogleCloudPlatform,google-cloud-go,15,3
GoogleCloudPlatform,google-cloud-go,17,1
GoogleCloudPlatform,google-cloud-go,18,4
GoogleCloudPlatform,google-cloud-go,19,1
GoogleCloudPlatform,google-cloud-go,20,1
GoogleCloudPlatform,google-cloud-go,21,5
GoogleCloudPlatform,google-cloud-go,22,6
GoogleCloudPlatform,google-cloud-go,23,2
GoogleCloudPlatform,google-cloud-go,24,2
GoogleCloudPlatform,google-cloud-go,25,2
GoogleCloudPlatform,google-cloud-go,26,7
GoogleCloudPlatform,google-cloud-go,27,9
GoogleCloudPlatform,google-cloud-go,28,6
GoogleCloudPlatform,google-cloud-go,29,5
GoogleCloudPlatform,google-cloud-go,30,3
GoogleCloudPlatform,google-cloud-go,31,2
GoogleCloudPlatform,google-cloud-go,33,5
GoogleCloudPlatform,google-cloud-go,34,3
GoogleCloudPlatform,google-cloud-go,35,4
GoogleCloudPlatform,google-cloud-go,36,5
GoogleCloudPlatform,google-cloud-go,37,51
GoogleCloudPlatform,google-cloud-go,38,6
GoogleCloudPlatform,google-cloud-go,39,3
GoogleCloudPlatform,google-cloud-go,40,3
GoogleCloudPlatform,google-cloud-go,41,2
GoogleCloudPlatform,google-cloud-go,42,4
GoogleCloudPlatform,google-cloud-go,43,7
GoogleCloudPlatform,google-cloud-go,44,13
GoogleCloudPlatform,google-cloud-go,45,4
GoogleCloudPlatform,google-cloud-go,46,4
GoogleCloudPlatform,google-cloud-go,47,2
GoogleCloudPlatform,google-cloud-go,48,8
GoogleCloudPlatform,google-cloud-go,49,14
GoogleCloudPlatform,google-cloud-go,50,16
GoogleCloudPlatform,google-cloud-go,51,13
GoogleCloudPlatform,google-cloud-go,52,6
GoogleCloudPlatform,google-cloud-java,2,1
GoogleCloudPlatform,google-cloud-java,5,2
GoogleCloudPlatform,google-cloud-java,6,3
GoogleCloudPlatform,google-cloud-java,7,2
GoogleCloudPlatform,google-cloud-java,8,1
GoogleCloudPlatform,google-cloud-java,9,1
GoogleCloudPlatform,google-cloud-java,10,1
GoogleCloudPlatform,google-cloud-java,11,4
GoogleCloudPlatform,google-cloud-java,13,2
GoogleCloudPlatform,google-cloud-java,14,1
GoogleCloudPlatform,google-cloud-java,15,1
GoogleCloudPlatform,google-cloud-java,16,1
GoogleCloudPlatform,google-cloud-java,17,2
GoogleCloudPlatform,google-cloud-java,18,2
GoogleCloudPlatform,google-cloud-java,19,1
GoogleCloudPlatform,google-cloud-java,20,2
GoogleCloudPlatform,google-cloud-java,21,1
GoogleCloudPlatform,google-cloud-java,22,4
GoogleCloudPlatform,google-cloud-java,23,4
GoogleCloudPlatform,google-cloud-java,24,1
GoogleCloudPlatform,google-cloud-java,26,4
GoogleCloudPlatform,google-cloud-java,27,3
GoogleCloudPlatform,google-cloud-java,28,3
GoogleCloudPlatform,google-cloud-java,29,6
GoogleCloudPlatform,google-cloud-java,30,1
GoogleCloudPlatform,google-cloud-java,31,1
GoogleCloudPlatform,google-cloud-java,32,6
GoogleCloudPlatform,google-cloud-java,33,2
GoogleCloudPlatform,google-cloud-java,34,1
GoogleCloudPlatform,google-cloud-java,35,4
GoogleCloudPlatform,google-cloud-java,36,3
GoogleCloudPlatform,google-cloud-java,37,3
GoogleCloudPlatform,google-cloud-java,40,5
GoogleCloudPlatform,google-cloud-java,41,2
GoogleCloudPlatform,google-cloud-java,42,1
GoogleCloudPlatform,google-cloud-java,43,2
GoogleCloudPlatform,google-cloud-java,44,4
GoogleCloudPlatform,google-cloud-java,45,4
GoogleCloudPlatform,google-cloud-java,46,2
GoogleCloudPlatform,google-cloud-java,47,5
GoogleCloudPlatform,google-cloud-java,48,6
GoogleCloudPlatform,google-cloud-java,49,3
GoogleCloudPlatform,google-cloud-java,50,5
GoogleCloudPlatform,google-cloud-java,51,5
GoogleCloudPlatform,google-cloud-java,52,4
